year,state_code,bachelorsOrHigher
1996,AL,1092
1996,AK,619.1
1996,AZ,284.2
1996,AR,1113.1
1996,CA,1480.0999999999995
1996,CO,1887.7000000000003
1996,CT,279
1996,DE,79.1
1996,DC,53.4
1996,FL,1355.1
1996,GA,2693.499999999999
1996,HI,154.2
1996,ID,898.4999999999999
1996,IL,1997.8999999999992
1996,IN,1640.0999999999997
1996,IA,1991.7000000000005
1996,KS,2250.1000000000013
1996,KY,1788.0000000000002
1996,LA,1010.6
1996,ME,410.4
1996,MD,717.1
1996,MA,534.1999999999999
1996,MI,1657.1999999999996
1996,MN,1912.9
1996,MS,1345.1999999999996
1996,MO,1947.8000000000009
1996,MT,1254.8000000000004
1996,NE,1883.6
1996,NV,289.6
1996,NH,315.29999999999995
1996,NJ,717.5
1996,NM,685.4000000000001
1996,NY,1621.9999999999993
1996,NC,2002.200000000001
1996,ND,1091.0999999999997
1996,OH,1630.9000000000008
1996,OK,1415.8999999999999
1996,OR,814.2000000000002
1996,PA,1428.4000000000005
1996,RI,188.7
1996,SC,871.8000000000002
1996,SD,1452
1996,TN,1500.9000000000005
1996,TX,4561.600000000002
1996,UT,693.9000000000001
1996,VT,435.8
1996,VA,3259.5
1996,WA,935.3000000000001
1996,WV,828.0999999999998
1996,WI,1536.8999999999996
1996,WY,552.2
1997,AL,97.84822964
1997,AK,828.5870312
1997,AZ,496.5153909
1997,AR,16.06175341
1997,CA,720.8644842
1997,CO,377.8510608
1997,CT,95.29022102
1997,DE,375.1233254
1997,DC,606.558898
1997,FL,662.0028097
1997,GA,272.2455585
1997,HI,562.121737
1997,ID,291.1789831
1997,IL,565.2618622
1997,IN,450.1009635
1997,IA,103.632232
1997,KS,980.5527997
1997,KY,152.1099194
1997,LA,994.9570397
1997,ME,853.4349933
1997,MD,645.2260379
1997,MA,644.9754067
1997,MI,683.3792043
1997,MN,208.4528105
1997,MS,432.1015665
1997,MO,881.2700965
1997,MT,642.5546099
1997,NE,64.24906166
1997,NV,3.818215678
1997,NH,195.2429542
1997,NJ,427.9811467
1997,NM,293.9296814
1997,NY,750.1130316
1997,NC,135.9361372
1997,ND,314.2809241
1997,OH,203.2385922
1997,OK,554.669246
1997,OR,554.5996342
1997,PA,192.1126275
1997,RI,239.8312203
1997,SC,946.4600516
1997,SD,373.2398035
1997,TN,687.7908625
1997,TX,216.1559294
1997,UT,16.35588897
1997,VT,780.5485262
1997,VA,252.1027096
1997,WA,443.0687526
1997,WV,437.7709389
1997,WI,692.2796925
1997,WY,0.9447815047
